date,IBM,AAPL,AA,CAT,MMM,F,INTC,AMD
1980-12-15,-0.0191944472561474,-0.0534648479010587,-0.00392071946374539,0.00424629088145156,-0.0156427770704539,-0.0195445960729703,0,0.0106195688274604
1980-12-16,0.0267702410646047,-0.0760461279890508,0.0527108836331776,-0.00637621713927583,0,-0.0132452267500205,0.00902261759963752,-0.0579872576503493
1980-12-17,-0.0152094186635283,0.0243914531241591,0.0425596144187956,-0.00213447252863297,-0.00225479238708903,-0.00668898815079677,-0.0211808220794474,-0.0458095360312942
1980-12-18,-0.0252195713321157,0.028505492997926,-0.00477327875265754,-0.00428266179200065,0.0112234623698502,-0.0135137191667227,-0.00306278953054573,-0.0117879557520424
1980-12-19,0.0155948579579057,0.0591081122544095,0.0512932943875506,-0.0151354240651012,0,0.0400053346136993,-0.0503250838875156,-0.0611188150560453
1980-12-22,0.0379552200004358,0.0474226785516074,0.0842297340277529,0.0043478329361033,0.0155041865359644,0.0509664435920274,-0.00323102058144631,0.0166670524852117
1980-12-23,0.00186046565291953,0.041242958534049,0.0131444299974235,-0.00217155351350762,-0.00661523911871864,-0.0188093319574962,0.0192313619278877,0.0601383587385334
1980-12-24,0.0184167267862314,0.0511922791846766,0.00684934184557484,-0.0242036017408864,0.019715863164417,0.0125787822068602,0.021978906718775,0.053042735984481
1980-12-26,0.00727275932908,0.0881303923729639,0.0108622928166309,0.0154699217721319,0.00216684808509093,0.00623054975063608,0.0245411089161176,0.00735297430525916
1980-12-29,-0.0145987994211527,0.0139618323817685,0.0197231865589278,0.00219058137981865,0.0129034048359076,-0.0188093319574962,-0.0339015516756813,-0.0373177630071955
1980-12-30,0.00914919465358732,-0.0245626383684092,0.0392716374288948,-0.00219058137981865,-0.00858374369139181,0.0188093319574962,0.0124612204378121,0.0373177630071955
1980-12-31,-0.0109891215755944,-0.028830825717709,0.0135927491906971,0.0173917427118688,0.0170944333593006,-0.00623054975063608,0.00309119256967261,0.0109290705321903
1981-01-02,0.0182486815883989,0.0127158843253028,-0.0459370951870257,0,0.004228336109521,0.0307716586667537,0,0.0215062052209634
1981-01-05,0.0161438483713567,-0.0237454079008024,0.00883658180049807,0.0170944333593006,0.0270568013875128,0.0357180826020795,0.0363676441708751,-0.0773866636154201
1981-01-06,0.0176371414861061,-0.0453764043380525,0.0209583682962302,-0.00424629088145156,0.0362943061927705,0.011628037995119,-0.0271509890659512,-0.0232568621642675
1981-01-07,-0.0283706971292155,-0.0434851119397388,0.00540971884130848,-0.00426439878645724,-0.00795232819049474,-0.0233928795747054,-0.0310583970199727,-0.0238106486937184
1981-01-08,-0.0273490154041003,-0.020408871631207,0.00601172511405146,-0.00643089033029032,-0.0140705838969426,-0.0361485141163112,-0.0191088616980464,-0.0493927553295763
1981-01-09,-0.00370370793748442,0.0522206992662211,-0.0268558339482201,0.00643089033029032,-0.00202634314523209,-0.00615386557437825,0,-0.0835650783460422
1981-01-12,-0.00931973194880253,-0.00588814262522241,-0.0373042099250083,0.0085106896679088,0.00404858852599954,-0.0124225199985575,-0.0194811355718225,0.0271509890659507
1981-01-13,-0.00375234961855053,-0.0381189581036101,-0.0258958252287473,-0.0127933514599095,0.00201816415623757,0,-0.00657897109804262,-0.018018505502678
1981-01-14,0.00375234961855053,0.00408163831964847,-0.00311149775663377,-0.0129591446425055,0.00201409937170105,0,0.00985229644301189,0.00904983551991778
1981-01-15,-0.0150946262224849,0.022155991897209,0.00552487593196993,-0.00654309858893587,-0.00201409937170105,-0.00626961301359508,0.00651468102119379,0.0134230203321408
1981-01-16,0.016965534158297,-0.0100100935951009,0.0723847251306906,0.00218579321998025,0.00803217169726445,0,0.0413413401564413,0.00884961527698236
